sample_id,kelas,type,repository,commit_hash,path,start_line,end_line,link,n_reviews,ada_ketat,ada_longgar
3698323,god_class,class,git@github.com:alexa/alexa-skills-kit-sdk-for-java.git,bf1e9ccc50d1f3f8408f887f70197ee288fd4bd9,/ask-sdk-core/src/com/amazon/ask/dispatcher/request/handler/impl/PlaybackNearlyFinishedRequestHandler.java,26,59,https://github.com/alexa/alexa-skills-kit-sdk-for-java/blob/bf1e9ccc50d1f3f8408f887f70197ee288fd4bd9/ask-sdk-core/src/com/amazon/ask/dispatcher/request/handler/impl/PlaybackNearlyFinishedRequestHandler.java/#L26-L59,1,False,False
3698323,data_class,class,git@github.com:alexa/alexa-skills-kit-sdk-for-java.git,bf1e9ccc50d1f3f8408f887f70197ee288fd4bd9,/ask-sdk-core/src/com/amazon/ask/dispatcher/request/handler/impl/PlaybackNearlyFinishedRequestHandler.java,26,59,https://github.com/alexa/alexa-skills-kit-sdk-for-java/blob/bf1e9ccc50d1f3f8408f887f70197ee288fd4bd9/ask-sdk-core/src/com/amazon/ask/dispatcher/request/handler/impl/PlaybackNearlyFinishedRequestHandler.java/#L26-L59,1,False,False
3698602,feature_envy,function,git@github.com:alexa/alexa-skills-kit-sdk-for-java.git,bf1e9ccc50d1f3f8408f887f70197ee288fd4bd9,/ask-sdk-runtime/src/com/amazon/ask/request/mapper/impl/BaseRequestMapper.java,79,81,https://github.com/alexa/alexa-skills-kit-sdk-for-java/blob/bf1e9ccc50d1f3f8408f887f70197ee288fd4bd9/ask-sdk-runtime/src/com/amazon/ask/request/mapper/impl/BaseRequestMapper.java/#L79-L81,1,False,False
3698602,long_method,function,git@github.com:alexa/alexa-skills-kit-sdk-for-java.git,bf1e9ccc50d1f3f8408f887f70197ee288fd4bd9,/ask-sdk-runtime/src/com/amazon/ask/request/mapper/impl/BaseRequestMapper.java,79,81,https://github.com/alexa/alexa-skills-kit-sdk-for-java/blob/bf1e9ccc50d1f3f8408f887f70197ee288fd4bd9/ask-sdk-runtime/src/com/amazon/ask/request/mapper/impl/BaseRequestMapper.java/#L79-L81,1,False,False
3698665,feature_envy,function,git@github.com:alexa/alexa-skills-kit-sdk-for-java.git,bf1e9ccc50d1f3f8408f887f70197ee288fd4bd9,/ask-sdk-runtime/src/com/amazon/ask/builder/impl/AbstractSkillBuilder.java,91,94,https://github.com/alexa/alexa-skills-kit-sdk-for-java/blob/bf1e9ccc50d1f3f8408f887f70197ee288fd4bd9/ask-sdk-runtime/src/com/amazon/ask/builder/impl/AbstractSkillBuilder.java/#L91-L94,1,False,False
3698665,long_method,function,git@github.com:alexa/alexa-skills-kit-sdk-for-java.git,bf1e9ccc50d1f3f8408f887f70197ee288fd4bd9,/ask-sdk-runtime/src/com/amazon/ask/builder/impl/AbstractSkillBuilder.java,91,94,https://github.com/alexa/alexa-skills-kit-sdk-for-java/blob/bf1e9ccc50d1f3f8408f887f70197ee288fd4bd9/ask-sdk-runtime/src/com/amazon/ask/builder/impl/AbstractSkillBuilder.java/#L91-L94,1,False,False
3698860,feature_envy,function,git@github.com:alibaba/ARouter.git,93b328569bbdbf75e4aa87f0ecf48c69600591b2,/arouter-annotation/src/main/java/com/alibaba/android/arouter/facade/model/RouteMeta.java,200,213,https://github.com/alibaba/ARouter/blob/93b328569bbdbf75e4aa87f0ecf48c69600591b2/arouter-annotation/src/main/java/com/alibaba/android/arouter/facade/model/RouteMeta.java/#L200-L213,1,False,False
3698860,long_method,function,git@github.com:alibaba/ARouter.git,93b328569bbdbf75e4aa87f0ecf48c69600591b2,/arouter-annotation/src/main/java/com/alibaba/android/arouter/facade/model/RouteMeta.java,200,213,https://github.com/alibaba/ARouter/blob/93b328569bbdbf75e4aa87f0ecf48c69600591b2/arouter-annotation/src/main/java/com/alibaba/android/arouter/facade/model/RouteMeta.java/#L200-L213,1,False,False
3699227,feature_envy,function,git@github.com:alibaba/ARouter.git,93b328569bbdbf75e4aa87f0ecf48c69600591b2,/arouter-annotation/src/main/java/com/alibaba/android/arouter/facade/enums/RouteType.java,32,34,https://github.com/alibaba/ARouter/blob/93b328569bbdbf75e4aa87f0ecf48c69600591b2/arouter-annotation/src/main/java/com/alibaba/android/arouter/facade/enums/RouteType.java/#L32-L34,1,False,False
3699227,long_method,function,git@github.com:alibaba/ARouter.git,93b328569bbdbf75e4aa87f0ecf48c69600591b2,/arouter-annotation/src/main/java/com/alibaba/android/arouter/facade/enums/RouteType.java,32,34,https://github.com/alibaba/ARouter/blob/93b328569bbdbf75e4aa87f0ecf48c69600591b2/arouter-annotation/src/main/java/com/alibaba/android/arouter/facade/enums/RouteType.java/#L32-L34,1,False,False
