sample_id,label,language,type,repository,commit_hash,path,method_name,start_line,param_count
3920271,long_parameter_list,java,function,git@github.com:apache/accumulo.git,f896c98c2356a52dfa2235d2cc02ae556ab17909,/proxy/src/main/java/org/apache/accumulo/proxy/thrift/ActiveScan.java,ActiveScan,202,11
8850427,long_parameter_list,java,function,git@github.com:apache/airavata.git,391843a00eefa7b6213e845f2f044b4e042894d5,/airavata-api/airavata-api-stubs/src/main/java/org/apache/airavata/api/Airavata.java,getExperimentStatistics,3124,8
8939140,long_parameter_list,java,function,git@github.com:apache/hive.git,2fa22bf360898dc8fd1408bfcc96e1c6aeaf9a53,/standalone-metastore/metastore-common/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/metastore/api/ThriftHiveMetastore.java,create_table_with_constraints,541,8
8615362,long_parameter_list,java,function,git@github.com:apache/ignite.git,7a7c407ea41477aae8508bfe871b4e9a67e1b277,/modules/hadoop/src/main/java/org/apache/ignite/internal/processors/hadoop/shuffle/HadoopShuffleJob.java,HadoopShuffleJob,172,8
4331802,long_parameter_list,java,function,git@github.com:apache/derby.git,bd246fc89d4fce3f82f8344074ecb8a4713418df,/java/org.apache.derby.engine/org/apache/derby/impl/sql/execute/CreateViewConstantAction.java,CreateViewConstantAction,96,8
9396435,long_parameter_list,java,function,git@github.com:SAP/SapMachine.git,6e62561730c46dc5000c39665c43951832192ceb,/src/java.desktop/unix/classes/sun/java2d/xr/XRCompositeManager.java,XRComposite,235,11
3722097,long_parameter_list,java,function,git@github.com:alibaba/atlas.git,e8c7b3f1ff14b2a1df64321c6992b796cae7d732,/atlas-core/src/main/java/android/taobao/atlas/runtime/newcomponent/IntentResolver.java,buildResolveList,588,8
9483594,long_parameter_list,java,function,git@github.com:apache/hadoop.git,128dd91e10080bdcbcd7d555fa3c4105e55a6b51,/hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core/src/main/java/org/apache/hadoop/mapreduce/task/ReduceContextImpl.java,ReduceContextImpl,84,11
8967998,long_parameter_list,java,function,git@github.com:apache/hive.git,2fa22bf360898dc8fd1408bfcc96e1c6aeaf9a53,/ql/src/java/org/apache/hadoop/hive/ql/metadata/formatting/JsonMetaDataFormatter.java,describeTable,189,17
6536605,long_parameter_list,java,function,git@github.com:eclipse/smarthome.git,b8455de15d65512e8fac4e94d42de6ab2fccf1c5,/bundles/io/org.eclipse.smarthome.io.net/src/main/java/org/eclipse/smarthome/io/net/http/HttpUtil.java,executeUrl,153,11
3844294,long_parameter_list,java,function,git@github.com:apache/accumulo.git,f896c98c2356a52dfa2235d2cc02ae556ab17909,/proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java,compactTable,45,8
6703649,long_parameter_list,java,function,git@github.com:facebook/litho.git,19503b819b97e17d02f584633508dca8c646911a,/litho-sections-core/src/main/java/com/facebook/litho/sections/ChangeSet.java,ChangeSetStats,317,8
7047050,long_parameter_list,java,function,git@github.com:google/sagetv.git,a35e3a450b4c0134cb097b9e7de76dca08eb6654,/java/sage/miniclient/QuartzGFXCMD.java,getGradient,205,8
3763789,long_parameter_list,java,function,git@github.com:alibaba/jstorm.git,5d6cde22dbca7df3d6e6830bf94f98a6639ab559,/jstorm-core/src/main/java/backtype/storm/generated/Nimbus.java,submitTopology_call,1924,8
3857363,long_parameter_list,java,function,git@github.com:apache/accumulo.git,f896c98c2356a52dfa2235d2cc02ae556ab17909,/core/src/main/java/org/apache/accumulo/core/tabletserver/thrift/TabletClientService.java,startScan,31,16
4098093,long_parameter_list,java,function,git@github.com:apache/asterixdb.git,223d13a06c4a4a58408aeac19674ac1f36f5ff35,/hyracks-fullstack/hyracks/hyracks-storage-am-common/src/main/java/org/apache/hyracks/storage/am/common/dataflow/IndexSearchOperatorNodePushable.java,IndexSearchOperatorNodePushable,112,11
9217401,long_parameter_list,java,function,git@github.com:SAP/SapMachine.git,6e62561730c46dc5000c39665c43951832192ceb,/src/java.xml/share/classes/com/sun/org/apache/xalan/internal/xsltc/dom/SAXImpl.java,SAXImpl,718,9
3819885,long_parameter_list,java,function,git@github.com:apache/accumulo.git,f896c98c2356a52dfa2235d2cc02ae556ab17909,/proxy/src/main/java/org/apache/accumulo/proxy/thrift/AccumuloProxy.java,compactTable,45,8
9173375,long_parameter_list,java,function,git@github.com:eclipse/birt.git,f89264810347de98702db45386a822aabc0fadbf,/engine/org.eclipse.birt.report.engine.emitter.wpml/src/org/eclipse/birt/report/engine/emitter/wpml/writer/DocWriter.java,drawImage,206,8
4634991,long_parameter_list,java,function,git@github.com:apache/groovy.git,00ee0547c00673a93e0843a9d72c8e4293d1efdb,/src/main/java/org/codehaus/groovy/classgen/asm/indy/InvokeDynamicWriter.java,makeCachedCall,86,10
3879070,long_parameter_list,java,function,git@github.com:apache/accumulo.git,f896c98c2356a52dfa2235d2cc02ae556ab17909,/core/src/main/java/org/apache/accumulo/core/clientImpl/thrift/ClientService.java,bulkImportFiles,101,8
6496450,long_parameter_list,java,function,git@github.com:eclipse/reddeer.git,59e55d29fc60a672d79df1ad1578badb8a2f8693,/plugins/org.eclipse.reddeer.core/src/org/eclipse/reddeer/core/handler/TreeItemHandler.java,createMouseEvent,476,8
