id,language,label,scan_path,status
java_data_class_001,java,data_class,java/java_data_class_001.java,ok
java_data_class_002,java,data_class,java/java_data_class_002.java,ok
java_data_class_003,java,data_class,java/java_data_class_003.java,ok
java_data_class_004,java,data_class,java/java_data_class_004.java,ok
java_data_class_005,java,data_class,java/java_data_class_005.java,ok
java_data_class_006,java,data_class,java/java_data_class_006.java,ok
java_data_class_007,java,data_class,java/java_data_class_007.java,ok
java_data_class_008,java,data_class,java/java_data_class_008.java,ok
java_data_class_009,java,data_class,java/java_data_class_009.java,ok
java_data_class_010,java,data_class,java/java_data_class_010.java,ok
java_data_class_011,java,data_class,java/java_data_class_011.java,ok
java_data_class_012,java,data_class,java/java_data_class_012.java,ok
java_data_class_013,java,data_class,java/java_data_class_013.java,ok
java_data_class_014,java,data_class,java/java_data_class_014.java,ok
java_data_class_015,java,data_class,java/java_data_class_015.java,ok
java_data_class_016,java,data_class,java/java_data_class_016.java,ok
java_data_class_017,java,data_class,java/java_data_class_017.java,ok
java_data_class_018,java,data_class,java/java_data_class_018.java,ok
java_data_class_019,java,data_class,java/java_data_class_019.java,ok
java_data_class_020,java,data_class,java/java_data_class_020.java,ok
java_data_class_021,java,data_class,java/java_data_class_021.java,ok
java_data_class_022,java,data_class,java/java_data_class_022.java,ok
java_data_class_023,java,data_class,java/java_data_class_023.java,ok
java_data_class_024,java,data_class,java/java_data_class_024.java,ok
java_data_class_025,java,data_class,java/java_data_class_025.java,ok
java_data_class_026,java,data_class,java/java_data_class_026.java,ok
java_data_class_027,java,data_class,java/java_data_class_027.java,ok
java_data_class_028,java,data_class,java/java_data_class_028.java,ok
java_data_class_029,java,data_class,java/java_data_class_029.java,ok
java_data_class_030,java,data_class,java/java_data_class_030.java,ok
java_data_class_031,java,data_class,java/java_data_class_031.java,ok
java_data_class_032,java,data_class,java/java_data_class_032.java,ok
java_data_class_033,java,data_class,java/java_data_class_033.java,ok
java_data_class_034,java,data_class,java/java_data_class_034.java,ok
java_data_class_035,java,data_class,java/java_data_class_035.java,ok
java_data_class_036,java,data_class,java/java_data_class_036.java,ok
java_data_class_037,java,data_class,java/java_data_class_037.java,ok
java_data_class_038,java,data_class,java/java_data_class_038.java,ok
java_data_class_039,java,data_class,java/java_data_class_039.java,ok
java_data_class_040,java,data_class,java/java_data_class_040.java,ok
java_data_class_041,java,data_class,java/java_data_class_041.java,ok
java_data_class_042,java,data_class,java/java_data_class_042.java,ok
java_feature_envy_001,java,feature_envy,java/java_feature_envy_001.java,ok
java_feature_envy_002,java,feature_envy,java/java_feature_envy_002.java,ok
java_feature_envy_003,java,feature_envy,java/java_feature_envy_003.java,ok
java_feature_envy_004,java,feature_envy,java/java_feature_envy_004.java,ok
java_feature_envy_005,java,feature_envy,java/java_feature_envy_005.java,ok
java_feature_envy_006,java,feature_envy,java/java_feature_envy_006.java,ok
java_feature_envy_007,java,feature_envy,java/java_feature_envy_007.java,ok
java_feature_envy_008,java,feature_envy,java/java_feature_envy_008.java,ok
java_feature_envy_009,java,feature_envy,java/java_feature_envy_009.java,ok
java_feature_envy_010,java,feature_envy,java/java_feature_envy_010.java,ok
java_feature_envy_011,java,feature_envy,java/java_feature_envy_011.java,ok
java_feature_envy_012,java,feature_envy,java/java_feature_envy_012.java,ok
java_feature_envy_013,java,feature_envy,java/java_feature_envy_013.java,ok
java_feature_envy_014,java,feature_envy,java/java_feature_envy_014.java,ok
java_feature_envy_015,java,feature_envy,java/java_feature_envy_015.java,ok
java_feature_envy_016,java,feature_envy,java/java_feature_envy_016.java,ok
java_feature_envy_017,java,feature_envy,java/java_feature_envy_017.java,ok
java_feature_envy_018,java,feature_envy,java/java_feature_envy_018.java,ok
java_feature_envy_019,java,feature_envy,java/java_feature_envy_019.java,ok
java_feature_envy_020,java,feature_envy,java/java_feature_envy_020.java,ok
java_feature_envy_021,java,feature_envy,java/java_feature_envy_021.java,ok
java_feature_envy_022,java,feature_envy,java/java_feature_envy_022.java,ok
java_feature_envy_023,java,feature_envy,java/java_feature_envy_023.java,ok
java_feature_envy_024,java,feature_envy,java/java_feature_envy_024.java,ok
java_god_class_001,java,god_class,java/java_god_class_001.java,ok
java_god_class_002,java,god_class,java/java_god_class_002.java,ok
java_god_class_003,java,god_class,java/java_god_class_003.java,ok
java_god_class_004,java,god_class,java/java_god_class_004.java,ok
java_god_class_005,java,god_class,java/java_god_class_005.java,ok
java_god_class_006,java,god_class,java/java_god_class_006.java,ok
java_god_class_007,java,god_class,java/java_god_class_007.java,ok
java_god_class_008,java,god_class,java/java_god_class_008.java,ok
java_god_class_009,java,god_class,java/java_god_class_009.java,ok
java_god_class_010,java,god_class,java/java_god_class_010.java,ok
java_god_class_011,java,god_class,java/java_god_class_011.java,ok
java_god_class_012,java,god_class,java/java_god_class_012.java,ok
java_god_class_013,java,god_class,java/java_god_class_013.java,ok
java_god_class_014,java,god_class,java/java_god_class_014.java,ok
java_god_class_015,java,god_class,java/java_god_class_015.java,ok
java_god_class_016,java,god_class,java/java_god_class_016.java,ok
java_god_class_017,java,god_class,java/java_god_class_017.java,ok
java_god_class_018,java,god_class,java/java_god_class_018.java,ok
java_god_class_019,java,god_class,java/java_god_class_019.java,ok
java_god_class_020,java,god_class,java/java_god_class_020.java,ok
java_god_class_021,java,god_class,java/java_god_class_021.java,ok
java_god_class_022,java,god_class,java/java_god_class_022.java,ok
java_god_class_023,java,god_class,java/java_god_class_023.java,ok
java_god_class_024,java,god_class,java/java_god_class_024.java,ok
java_god_class_025,java,god_class,java/java_god_class_025.java,ok
java_god_class_026,java,god_class,java/java_god_class_026.java,ok
java_god_class_027,java,god_class,java/java_god_class_027.java,ok
java_god_class_028,java,god_class,java/java_god_class_028.java,ok
java_god_class_029,java,god_class,java/java_god_class_029.java,ok
java_god_class_030,java,god_class,java/java_god_class_030.java,ok
java_god_class_031,java,god_class,java/java_god_class_031.java,ok
java_god_class_032,java,god_class,java/java_god_class_032.java,ok
java_god_class_033,java,god_class,java/java_god_class_033.java,ok
